flat_type,full_address,floor_type,square,price
2К,"Ленина пр-т, 212",1/1,35/20/10 м2,1 850 000 р.
1К,"ул Писарева, 27",2/5,"29,4/17/7 м2",2 250 000 р.
3К,"Зеленый Лог, 27",6/9,69/43/12 м2,5 650 000 р.
3К,"Карла Маркса, 155",7/9,65/43/8 м2,4 400 000 р.
3К,"Ленина пр-т, 133/3",1/5,"82,1/55/12 м2",9 500 000 р.
2К,"ПравобережныйИм. газеты ""Правда"", 23",4/5,"46,1/29/6 м2",2 600 000 р.
4К,"Панькова, 3",3/3,"82,3/60/8 м2",2 800 000 р.
3К,"ЛенинскийСалтыкова-Щедрина, 19",1/2,"55,8/40,8/6,4 м2",2 400 000 р.
3К,"Московская, 6",2/5,"61,8/46/7 м2",4 200 000 р.
2К,Правобережныйул. Суворова 95 к.1,1/5,43/28/6 м2,2 800 000 р.
3Кбрежневка,"ПравобережныйГрязнова, 30",2/5,"64/41,3/6,3 м2",4 000 000 р.
1К,"ЛенинскийУральская, 10/2",4/6,"46,2/22/15 м2",2 850 000 р.
4К,"Орджоникидзевский50-летия Магнитки, 44/1",1/5,"77,2/53/7 м2",5 100 000 р.
1К,"Им. газеты ""Правда"", 10/1",7/9,"30,1/16/6 м2",1 900 000 р.
4К,"Советская, 213/1",14/14,104/60/16 м2,6 590 000 р.
3К,"ПравобережныйСоветская, 123А/3",1/9,"65,3/0/6 м2",4 800 000 р.
3Кулучшенная,"ОрджоникидзевскийТруда, 3",6/9,65/43/9 м2,4 980 000 р.
1К,"Тевосяна, 2",7/9,"42,4/21,6/11,2 м2",3 699 000 р.
3К,"Мичурина, 28",5/5,60/45/6 м2,1 450 000 р.
1К,"ул имени газеты Правда, 22",3/5,32/0/6 м2,2 250 000 р.
2К,"Ленина пр-т, 133/1",6/10,"79,5/55/13 м2",6 650 000 р.
2Краздельная,"Орджоникидзевский (левый берег)Трамвайная, 25",1/3,43/31/6 м2,2 350 000 р.
2К,"ОрджоникидзевскийКоробова, 8",8/10,53/30/8 м2,3 590 000 р.
2К,"Орджоникидзевский (левый берег)Трамвайная, 25",1/3,43/31/6 м2,2 350 000 р.
3Кулучшенная,"ОрджоникидзевскийТевосяна, 25",5/9,"65,9/45/9 м2",4 500 000 р.
,"ул Лесопарковая, 93/1",10/10,"41,2/28/12,5 м2",3 150 000 р.
2К,"50-летия Магнитки, 40/1",1/9,50/32/9 м2,3 200 000 р.
3К,"ПравобережныйКарла Маркса, 113",5/5,"62,4/0/7 м2",3 200 000 р.
2Кстарой планировки,"ЛенинскийГерцена, 33",1/2,"68,5/45/15 м2",3 630 000 р.
1Кулучшенная,"ЛенинскийЧапаева, 4",1/3,"32,8/20/7 м2",2 850 000 р.
3К,"ПравобережныйСуворова, 140",4/5,"60,2/48/6 м2",3 850 000 р.
4Кнестандартная,"ОрджоникидзевскийСиреневый проезд, 22",2/9,"76,3/50/9 м2",5 500 000 р.
3К,"Карла Маркса, 214",4/16,"92,9/55/12 м2",8 800 000 р.
3К,"Коробова, 16/1",14/14,75/45/10 м2,4 500 000 р.
2К,29/4 ул. Школьная,1/2,"32,4/20/10 м2",2 480 000 р.
1К,"Курортная, 19",2/2,"14,1/12/0 м2",1 270 000 р.
2Кбрежневка,"ЛенинскийБурденко , 13",3/5,"44,1/30/6 м2",2 800 000 р.
4Кбрежневка,"ПравобережныйКарла Маркса, 130",5/5,65/50/6 м2,4 999 999 р.
2К,"Ленина пр-т, 49",5/5,60/35/9 м2,4 700 000 р.
3К,"Труда, 14",9/9,"65,3/42/9 м2",3 890 000 р.
1К,"Ленина пр-т, 106",1/5,"30,3/19/5 м2",1 850 000 р.
2К,"ул Завенягина, 10",4/9,"49,9/32/9 м2",3 850 000 р.
,"Ленина пр-т, 114/4",5/14,40/18/13 м2,2 620 000 р.
3К,"Западное шоссе, 107",1/2,69/40/20 м2,5 500 000 р.
3К,"ОрджоникидзевскийГалиуллина, 51",1/5,"58,4/38,6/6 м2",3 450 000 р.
1К,"ПравобережныйЛенина пр-т, 91",2/9,"35,6/13/12,5 м2",2 150 000 р.
3К,"ПравобережныйСталеваров, 26/2",3/5,62/46/6 м2,3 990 000 р.
2К,"ОрджоникидзевскийЛенина пр-т, 123",7/10,"62,7/46/8,5 м2",5 950 000 р.
3Кстарой планировки,"ЛенинскийПервомайская, 8",2/4,"78,3/50/10 м2",5 100 000 р.
3Кбрежневка,"ОрджоникидзевскийГалиуллина, 51",1/5,"58,4/38,6/6 м2",3 450 000 р.
1Кбрежневка,"ПравобережныйГрязнова, 47",5/5,32/18/6 м2,3 070 000 р.
3Кулучшенная,"Орджоникидзевский50-летия Магнитки, 38",7/9,65/45/9 м2,4 900 000 р.
2К,"Доменщиков, 15",1/5,"44,3/28/6 м2",3 300 000 р.
3Кулучшенная,"ОрджоникидзевскийКарла Маркса, 202",1/9,65/38/9 м2,3 870 000 р.
1Кполустудия,"ОрджоникидзевскийКарла Маркса, 231",6/10,"30,2/20/5 м2",1 950 000 р.
,"ул Панькова, 3",2/3,98/75/7 м2,4 300 000 р.
1К,"ул Лермонтова, 103",2/2,"34,4/14/10 м2",1 220 000 р.
